Issues found: 489
Row 264: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 265: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 266: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 267: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 268: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 269: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 270: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 271: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 272: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 273: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 274: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 275: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 276: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 277: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 278: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 279: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 280: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 281: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 282: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 283: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 284: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 285: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 286: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 287: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 288: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 289: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 290: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 291: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 292: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 293: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 294: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 295: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
